City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
roma,43.2128,-75.4557,53.6,54,75,14.97,US,1619391158
batticaloa,7.7102,81.6924,77.88,80,47,5.28,LK,1619391555
bor,56.3567,44.0669,39.2,56,0,13.42,RU,1619391556
maroua,10.591,14.3159,90.46,31,95,4.5,CM,1619391556
lavrentiya,65.5833,-171.0,31.32,88,83,1.25,RU,1619391300
hambantota,6.1241,81.1185,78.69,82,3,5.06,LK,1619391359
vardo,70.3705,31.1107,28.4,69,0,12.66,NO,1619391423
atlantic city,39.3643,-74.4229,62.6,51,20,11.5,US,1619391558
yellowknife,62.456,-114.3525,10.0,72,90,13.8,CA,1619391751
mount isa,-20.7333,139.5,77.0,50,5,11.5,AU,1619391559
tromso,69.6496,18.957,32.0,93,75,5.75,NO,1619391310
naze,28.3667,129.4833,71.6,64,40,12.66,JP,1619391306
amahai,-3.3333,128.9167,82.0,94,60,2.71,ID,1619391560
mahebourg,-20.4081,57.7,77.0,88,75,14.97,MU,1619391304
faya,18.3851,42.4509,62.6,63,40,9.06,SA,1619391560
westport,41.1415,-73.3579,59.0,58,90,10.36,US,1619391509
taungdwingyi,20.0167,95.55,82.4,60,76,8.37,MM,1619391561
teguise,29.0605,-13.564,68.0,73,20,10.36,ES,1619391397
shatalovo,54.334,32.4465,30.36,82,12,8.21,RU,1619391562
chuy,-33.6971,-53.4616,63.48,71,95,12.59,UY,1619391069
kruisfontein,-34.0033,24.7314,69.21,43,100,6.22,ZA,1619391702
porto velho,-8.7619,-63.9039,77.0,94,40,2.3,BR,1619391562
port elizabeth,-33.918,25.5701,60.8,88,0,8.05,ZA,1619391755
makakilo city,21.3469,-158.0858,82.4,51,75,11.5,US,1619391546
taltal,-25.4,-70.4833,62.92,81,41,4.23,CL,1619391563
litovko,49.2361,135.1742,41.61,31,97,2.75,RU,1619391564
andenes,69.3143,16.1194,35.6,75,90,11.5,NO,1619391564
coquimbo,-29.9533,-71.3436,59.0,82,0,10.36,CL,1619391565
sitka,57.0531,-135.33,55.4,47,20,5.75,US,1619391364
nuuk,64.1835,-51.7216,41.0,75,75,3.44,GL,1619391565
panzhihua,26.5851,101.7128,59.83,61,15,3.83,CN,1619391566
sinop,41.7711,34.8709,42.91,88,95,2.93,TR,1619391566
boende,-0.2167,20.8667,71.24,94,54,3.11,CD,1619391567
torbay,47.6666,-52.7314,46.4,49,20,14.97,CA,1619391117
port hardy,50.6996,-127.4199,51.8,82,75,4.61,CA,1619391386
corozal,9.3151,-75.2928,80.69,78,86,12.19,CO,1619391568
chokurdakh,70.6333,147.9167,22.28,94,100,13.67,RU,1619391408
port-cartier,50.0334,-66.8654,46.4,39,75,9.22,CA,1619391569
whitefish,48.4111,-114.3376,46.99,71,90,8.05,US,1619391569
saint-augustin,51.226,-58.6502,41.95,65,81,2.62,CA,1619391283
huarmey,-10.0681,-78.1522,68.97,82,12,8.55,PE,1619391570
boddam,57.4667,-1.7833,41.0,75,87,5.75,GB,1619391570
kabare,-2.4683,28.8242,59.63,95,87,1.25,CD,1619391571
ternuvate,47.8305,36.1276,41.0,60,0,2.24,UA,1619391571
toowoomba,-27.55,151.9667,61.0,94,6,5.75,AU,1619391572
fairbanks,64.8378,-147.7164,60.8,33,1,1.07,US,1619391536
cabedelo,-6.9811,-34.8339,78.8,89,0,6.91,BR,1619391572
aitape,-3.1374,142.3475,79.74,78,100,1.57,PG,1619391573
zheleznodorozhnyy,55.7503,38.0042,37.4,60,0,8.95,RU,1619391573
bethel,41.3712,-73.414,60.8,51,90,5.75,US,1619391762
tommot,58.9564,126.2925,35.78,98,100,5.37,RU,1619391574
mathbaria,22.2876,89.9593,78.04,84,5,5.23,BD,1619391575
flin flon,54.7682,-101.865,42.8,31,90,12.66,CA,1619391575
saint-pierre,-21.3393,55.4781,77.0,73,0,19.57,RE,1619391576
saryozek,44.3583,77.9753,48.54,44,81,8.48,KZ,1619391576
fremont,37.5483,-121.9886,57.99,62,90,15.66,US,1619391509
kimbe,-5.5502,150.1429,79.34,84,96,4.29,PG,1619391577
kamra,33.7473,73.5111,69.01,53,2,11.03,PK,1619391578
chapais,49.7834,-74.8492,32.0,100,90,10.36,CA,1619391549
puri,19.8,85.85,80.6,94,20,9.22,IN,1619391579
airai,-8.9266,125.4092,60.35,72,22,1.83,TL,1619391235
hithadhoo,-0.6,73.0833,82.15,69,79,4.29,MV,1619391395
pandan niog,6.2282,120.5631,81.93,73,62,1.57,PH,1619391580
kavaratti,10.5669,72.642,83.71,72,2,7.18,IN,1619391580
kysyl-syr,63.8986,122.7617,33.64,99,100,4.76,RU,1619391581
mocuba,-16.8392,36.9856,68.45,98,98,2.93,MZ,1619391582
dikson,73.5069,80.5464,17.08,94,100,11.79,RU,1619391766
islamkot,24.6997,70.177,80.2,40,1,8.41,PK,1619391583
manono,-7.3,27.4167,68.88,96,100,0.98,CD,1619391584
buala,-8.145,159.5921,84.79,71,21,0.36,SB,1619391586
khudumelapye,-23.8833,24.75,62.89,21,0,4.79,BW,1619391586
hays,30.0502,-98.0336,87.01,40,22,7.0,US,1619391504
rondonopolis,-16.4708,-54.6356,70.43,87,100,5.23,BR,1619391587
albi,43.9298,2.148,57.99,52,99,3.0,FR,1619391567
oistins,13.0667,-59.5333,80.6,61,20,14.97,BB,1619391587
coari,-4.085,-63.1414,76.42,94,94,1.54,BR,1619391588
iqaluit,63.7506,-68.5145,33.8,86,90,3.44,CA,1619391414
iskateley,67.6803,53.1512,35.64,92,100,7.16,RU,1619391589
ponta delgada,37.7333,-25.6667,59.0,77,75,10.36,PT,1619391589
saint anthony,45.0205,-93.218,43.0,56,90,13.8,US,1619391590
tiksi,71.6872,128.8694,26.67,95,100,4.41,RU,1619391590
belaya gora,68.5333,146.4167,21.9,74,100,13.18,RU,1619391590
ribeira grande,38.5167,-28.7,59.85,83,100,11.97,PT,1619391770
talnakh,69.4865,88.3972,2.93,92,92,5.35,RU,1619391281
codrington,-38.2667,141.9667,58.37,71,100,5.21,AU,1619391382
olafsvik,64.8945,-23.7142,40.17,89,37,14.97,IS,1619391591
northam,51.0333,-4.2167,46.99,73,8,8.01,GB,1619391591
klaksvik,62.2266,-6.589,44.6,100,100,11.5,FO,1619391592
cacapava do sul,-30.5122,-53.4914,52.29,77,74,4.92,BR,1619391593
mar del plata,-38.0023,-57.5575,62.01,72,40,6.91,AR,1619391552
victoria,22.2855,114.1577,73.99,82,100,3.0,HK,1619391069
palmerston,-12.486,130.9833,79.0,61,0,6.91,AU,1619391594
nikolskoye,59.7035,30.7861,37.99,87,90,11.18,RU,1619391773
huntsville,34.7304,-86.5861,70.0,43,20,6.91,US,1619391594
ouango,4.3133,22.5552,70.25,98,100,2.84,CF,1619391595
tarko-sale,64.9225,77.785,30.13,90,100,11.52,RU,1619391595
chabahar,25.2919,60.643,79.93,69,27,5.14,IR,1619391596
alappuzha,9.49,76.3264,80.28,84,79,5.08,IN,1619391596
koson,39.0375,65.585,55.4,58,0,14.97,UZ,1619391597
tonstad,58.6626,6.7169,37.99,83,4,9.51,NO,1619391597
kudahuvadhoo,2.6708,72.8944,82.58,69,12,6.02,MV,1619391599
leningradskiy,69.3833,178.4167,26.01,83,100,0.65,RU,1619391297
new norfolk,-42.7826,147.0587,60.01,74,98,3.0,AU,1619391329
suez,29.9737,32.5263,67.05,46,0,4.74,EG,1619391601
shache,38.4167,77.2406,58.33,18,30,6.29,CN,1619391602
laguna,38.421,-121.4238,61.0,51,90,14.97,US,1619391554
honningsvag,70.9821,25.9704,35.96,68,100,12.03,NO,1619391604
itarema,-2.9248,-39.9167,77.79,78,7,9.06,BR,1619391605
mecca,21.4267,39.8261,85.03,33,33,5.55,SA,1619391607
ahuimanu,21.4447,-157.8378,82.4,78,75,10.36,US,1619391608
saskylakh,71.9167,114.0833,15.06,93,100,22.86,RU,1619391778
souillac,-20.5167,57.5167,77.0,88,75,14.97,MU,1619391332
medowie,-32.7333,151.8667,64.99,94,40,10.36,AU,1619391610
nakamura,32.9833,132.9333,56.48,49,3,2.21,JP,1619391610
freeport,40.6576,-73.5832,62.6,58,90,9.22,US,1619391337
ekhabi,53.5102,142.9671,28.74,57,4,4.61,RU,1619391611
sorong,-0.8833,131.25,78.33,86,57,6.64,ID,1619391380
owensboro,37.7742,-87.1133,66.2,39,1,3.44,US,1619391404
sabha,27.0377,14.4283,71.42,23,0,10.25,LY,1619391610
kodiak,57.79,-152.4072,42.8,75,90,10.36,US,1619391782
sao joao da barra,-21.6403,-41.0511,74.57,89,30,8.3,BR,1619391290
casselman,45.3168,-75.0826,48.2,93,97,2.3,CA,1619391613
santa fe,-31.6333,-60.7,61.0,60,0,1.01,AR,1619391409
aklavik,68.2191,-135.0107,17.6,79,100,8.05,CA,1619391423
pemangkat,1.1667,108.9667,77.14,87,91,4.45,ID,1619391615
bako,5.7833,36.5667,61.66,93,94,3.13,ET,1619391616
la paz,-16.5,-68.15,53.6,26,20,11.5,BO,1619391440
arlit,18.7369,7.3853,90.59,10,81,5.93,NE,1619391309
east london,-33.0153,27.9116,67.84,64,100,9.64,ZA,1619391280
esmeraldas,-19.7625,-44.3139,77.0,41,0,2.1,BR,1619391617
coahuayana,18.7333,-103.6833,84.2,48,75,7.05,MX,1619391293
brae,60.3964,-1.353,41.0,93,0,3.44,GB,1619391558
fukue,32.6881,128.8419,59.25,56,77,28.3,JP,1619391614
cherskiy,68.75,161.3,15.48,85,97,5.5,RU,1619391688
touros,-5.1989,-35.4608,78.8,83,40,6.91,BR,1619391432
elko,41.0002,-115.5012,44.6,76,90,5.75,US,1619391620
paracatu,-17.2222,-46.8747,76.82,49,48,2.21,BR,1619391620
hami,42.8,93.45,39.2,20,69,7.47,CN,1619391787
abu zabad,12.35,29.25,84.33,47,100,16.8,SD,1619391621
santiago del estero,-27.7951,-64.2615,65.98,53,0,5.84,AR,1619391622
port hawkesbury,45.6169,-61.3485,57.2,35,1,9.22,CA,1619391366
biltine,14.5333,20.9167,87.26,22,99,4.97,TD,1619391622
altus,34.6381,-99.334,89.6,23,1,21.85,US,1619391349
manali,13.1667,80.2667,82.4,78,40,2.3,IN,1619391577
yulara,-25.2406,130.9889,55.4,50,0,8.05,AU,1619391789
palmer,42.1584,-72.3287,55.4,62,90,3.44,US,1619391789
bradford,53.7939,-1.7521,39.99,37,18,3.58,GB,1619391624
vestmannaeyjar,63.4427,-20.2734,43.93,80,0,12.91,IS,1619391302
lagunas,-5.2269,-75.6753,78.73,88,93,0.94,PE,1619391625
vestmanna,62.1564,-7.1664,44.6,100,100,11.5,FO,1619391625
chicama,-7.8447,-79.1469,66.2,82,0,9.22,PE,1619391626
wasilla,61.5814,-149.4394,59.0,33,1,5.75,US,1619391626
maceio,-9.6658,-35.7353,75.2,88,0,3.44,BR,1619391627
buy,58.4786,41.53,35.01,96,100,12.71,RU,1619391627
qaqortoq,60.7167,-46.0333,50.0,32,90,37.98,GL,1619391628
sioux lookout,50.1001,-91.917,48.2,25,75,8.05,CA,1619391434
esperance,-33.8667,121.9,57.2,58,0,14.97,AU,1619391792
asau,46.4333,26.4,48.2,71,75,11.5,RO,1619391628
rumonge,-3.9736,29.4386,69.62,88,100,4.14,BI,1619391629
severo-kurilsk,50.6789,156.125,32.5,98,100,12.19,RU,1619391794
nanzhou,29.3596,112.4024,56.46,91,100,6.69,CN,1619391630
narsaq,60.9167,-46.05,50.0,32,90,14.97,GL,1619391429
yatou,37.15,122.3833,53.26,67,100,4.07,CN,1619391630
clyde river,70.4692,-68.5914,21.2,100,75,27.63,CA,1619391398
belyy yar,53.6039,91.3903,32.0,74,0,4.47,RU,1619391620
madimba,-10.4,40.3333,73.4,94,75,8.05,TZ,1619391631
thompson,55.7435,-97.8558,32.0,93,90,12.66,CA,1619391288
dashitou,43.3067,128.5114,44.94,38,89,3.94,CN,1619391632
saldanha,-33.0117,17.9442,60.8,94,78,4.61,ZA,1619391346
kununurra,-15.7667,128.7333,68.0,83,99,4.61,AU,1619391436
okhotsk,59.3833,143.3,20.97,63,0,10.42,RU,1619391797
martin,27.0837,-80.4164,89.6,43,75,12.59,US,1619391798
cabo san lucas,22.8909,-109.9124,84.0,20,90,6.91,MX,1619391383
kanadukathan,10.1754,78.7785,81.63,77,8,5.84,IN,1619391798
bonthe,7.5264,-12.505,82.09,77,63,3.04,SL,1619391786
zapolyarnyy,69.4154,30.8136,26.6,74,96,4.61,RU,1619391799
harper,4.375,-7.7169,78.51,84,100,1.97,LR,1619391694
culebra,18.303,-65.301,80.6,65,1,10.36,PR,1619391800
itapuranga,-15.5622,-49.9486,71.33,71,84,3.2,BR,1619391800
bara,10.3744,10.7288,82.89,53,98,6.29,NG,1619391801
broome,42.2506,-75.833,50.0,81,90,11.5,US,1619391388
maniitsoq,65.4167,-52.9,40.75,78,100,10.58,GL,1619391588
tuatapere,-46.1333,167.6833,46.99,85,91,5.99,NZ,1619391328
hamilton,39.1834,-84.5333,62.6,29,1,6.91,US,1619391702
ancud,-41.8697,-73.8203,55.4,88,75,2.3,CL,1619391345
orocue,4.7912,-71.3354,87.85,51,79,4.12,CO,1619391802
kollegal,12.15,77.1167,74.75,71,6,3.67,IN,1619391803
hay river,60.8156,-115.7999,24.8,63,100,10.36,CA,1619391803
oranjestad,12.524,-70.027,82.4,74,20,19.57,AW,1619391613
khasan,42.4308,130.6434,45.23,44,49,1.03,RU,1619391804
manadhoo,5.7667,73.3833,83.01,72,9,4.88,MV,1619391804
isiro,2.7739,27.616,66.67,99,100,2.08,CD,1619391805
dukat,62.55,155.55,11.12,78,99,2.33,RU,1619391569
mogadishu,2.0371,45.3438,82.87,75,99,11.39,SO,1619391805
camacha,33.0833,-16.3333,60.8,94,75,18.41,PT,1619391286
boyolangu,-8.1181,111.8935,75.34,88,87,0.96,ID,1619391806
vapnyarka,48.5348,28.7436,39.99,89,95,1.01,UA,1619391807
la ronge,55.1001,-105.2842,37.4,44,100,11.5,CA,1619391807
sol-iletsk,51.1631,54.9918,42.22,59,99,5.7,RU,1619391766
sao raimundo das mangabeiras,-7.0219,-45.4811,75.74,87,98,2.19,BR,1619391808
kauhajoki,62.4333,22.1833,33.01,93,90,12.66,FI,1619391808
kaeo,-35.1,173.7833,63.21,72,82,7.23,NZ,1619391428
miranda,3.2499,-76.2281,77.0,73,75,3.44,CO,1619391809
manokwari,-0.8667,134.0833,80.38,78,100,9.66,ID,1619391809
teya,60.3778,92.6267,32.05,88,100,6.08,RU,1619391686
narasannapeta,18.4167,84.05,77.72,88,6,6.85,IN,1619391810
shakawe,-18.3667,21.85,63.72,50,48,5.14,BW,1619391810
valparaiso,-33.0393,-71.6273,55.99,100,0,9.53,CL,1619391811
san cristobal,7.7669,-72.225,87.8,58,40,11.5,VE,1619391381
debre tabor,11.85,38.0167,54.7,79,99,1.72,ET,1619391812
poshekhonye,58.4993,39.1353,32.67,98,100,12.95,RU,1619391812
panama city,8.9936,-79.5197,87.8,55,20,12.66,PA,1619391812
saint-louis,16.3333,-15.0,86.0,32,0,2.3,SN,1619391294
mountain home,43.133,-115.6912,51.8,71,75,4.61,US,1619391813
inhambane,-23.865,35.3833,70.29,91,4,3.09,MZ,1619391814
sinegorskiy,48.0139,40.8447,45.14,56,100,2.57,RU,1619391814
dong hoi,17.4833,106.6,78.21,94,100,3.67,VN,1619391813
alta floresta,-9.8756,-56.0861,73.45,93,85,3.2,BR,1619391637
pascagoula,30.3658,-88.5561,80.6,39,1,8.05,US,1619391770
sao filipe,14.8961,-24.4956,72.54,71,81,10.92,CV,1619391430
bagdarin,54.4333,113.6,34.9,97,100,5.97,RU,1619391816
ghanzi,-21.5667,21.7833,62.67,31,0,1.83,BW,1619391816
pevek,69.7008,170.3133,21.51,88,100,10.76,RU,1619391816
riverton,40.5219,-111.9391,57.99,54,100,4.0,US,1619391714
masallatah,32.6167,14.0,58.75,78,1,12.82,LY,1619391817
mandalgovi,45.7625,106.2708,29.52,78,53,25.17,MN,1619391818
chara,56.9064,118.2631,32.79,92,100,1.32,RU,1619391818
biak,-0.9131,122.8766,77.34,78,90,5.14,ID,1619391306
san francisco,37.7749,-122.4194,55.0,91,100,5.01,US,1619391601
paris,48.8534,2.3488,50.0,53,0,14.97,FR,1619391562
novyy urengoy,66.0833,76.6333,28.92,93,100,9.89,RU,1619391731
praia,14.9215,-23.5087,71.6,73,75,17.27,CV,1619391819
bathsheba,13.2167,-59.5167,78.8,61,20,14.97,BB,1619391820
keningau,5.3378,116.1602,78.8,83,20,3.44,MY,1619391820
lakatoro,-16.0999,167.4164,84.02,70,98,1.79,VU,1619391821
bontang,0.1333,117.5,76.68,91,100,4.38,ID,1619391821
dandong,40.1292,124.3947,55.94,33,100,3.33,CN,1619391822
oeiras do para,-2.0031,-49.8544,76.78,88,47,3.38,BR,1619391823
turukhansk,65.8167,87.9833,5.09,97,43,5.01,RU,1619391402
la cruz,23.9167,-106.9,84.0,48,68,8.01,MX,1619391823
hasaki,35.7333,140.8333,52.0,37,20,21.85,JP,1619391281
rorvik,64.8621,11.2373,38.59,63,73,12.64,NO,1619391824
baghdad,33.3406,44.4009,84.2,26,0,6.91,IQ,1619391650
puerto escondido,15.85,-97.0667,87.8,70,40,5.75,MX,1619391551
izhma,65.0083,53.9113,41.45,79,100,8.34,RU,1619391667
kashmor,28.4333,69.5833,83.88,14,0,3.29,PK,1619391825
flinders,-34.5833,150.8552,59.0,88,7,1.01,AU,1619391394
te anau,-45.4167,167.7167,46.51,93,100,7.87,NZ,1619391007
vila velha,-20.3297,-40.2925,78.8,83,40,5.75,BR,1619391605
gambela,8.25,34.5833,74.71,83,92,1.54,ET,1619391827
alofi,-19.0595,-169.9187,84.2,79,52,5.75,NU,1619391415
singaparna,-7.3515,108.111,70.14,95,44,0.65,ID,1619391828
santa cruz,-17.8,-63.1667,69.8,78,75,9.22,BO,1619391605
jeremie,18.65,-74.1167,79.93,74,35,3.09,HT,1619391829
san patricio,28.017,-97.5169,81.0,61,20,16.11,US,1619391380
pisco,-13.7,-76.2167,66.2,88,20,9.22,PE,1619391400
nurobod,40.9056,69.8023,59.0,55,0,6.91,UZ,1619391830
cururupu,-1.8283,-44.8683,74.95,95,95,2.93,BR,1619391337
jilotepec,19.6,-96.9333,68.54,83,99,4.36,MX,1619391830
kloulklubed,7.0419,134.2556,78.8,89,75,9.22,PW,1619391425
nhulunbuy,-12.2333,136.7667,78.8,94,75,1.14,AU,1619391831
college,64.8569,-147.8028,60.8,33,1,1.03,US,1619391438
rudnogorsk,57.2639,103.7519,29.1,93,87,6.44,RU,1619391832
cuza voda,44.2667,27.2667,43.72,69,41,7.67,RO,1619391832
vakhrushev,48.9833,142.9667,32.65,63,65,3.83,RU,1619391833
yanam,16.7333,82.2167,75.22,90,71,2.89,IN,1619391833
nelson bay,-32.7167,152.15,59.0,94,40,10.36,AU,1619391834
hirara,24.8,125.2833,71.6,64,20,12.66,JP,1619391834
nouadhibou,20.931,-17.0347,66.2,82,0,14.97,MR,1619391532
bocanda,7.0626,-4.4995,76.69,86,73,5.26,CI,1619391835
santa isabel do rio negro,-0.4139,-65.0192,76.75,93,95,2.26,BR,1619391835
avesta,60.1455,16.1679,33.01,59,90,9.22,SE,1619391836
surt,31.2089,16.5887,61.68,84,0,7.29,LY,1619391837
umm lajj,25.0213,37.2685,80.31,51,0,4.88,SA,1619391597
vanimo,-2.6741,141.3028,79.07,77,100,1.5,PG,1619391676
xingyi,24.1877,102.817,60.93,84,74,2.19,CN,1619391837
chifeng,42.2683,118.9636,53.47,41,96,7.4,CN,1619391838
nabire,-3.3667,135.4833,76.41,88,100,1.59,ID,1619391297
lata,40.1629,-8.3327,59.0,91,98,3.0,PT,1619391646
carauari,-4.8828,-66.8958,76.08,95,98,1.43,BR,1619391386
yerbogachen,61.2767,108.0108,31.14,95,100,8.97,RU,1619391542
sonoita,31.85,-112.8333,86.0,16,63,7.0,MX,1619391840
magadi,12.9667,77.2333,73.4,83,20,2.44,IN,1619391840
kaya,13.0917,-1.0844,92.55,18,40,2.66,BF,1619391841
manbij,36.5281,37.9549,64.4,52,0,6.98,SY,1619391842
marienburg,54.0359,19.0266,33.01,82,22,6.08,PL,1619391843
provideniya,64.3833,-173.3,39.2,70,0,4.47,RU,1619391293
smirnykh,49.75,142.8333,34.57,45,31,5.57,RU,1619391844
villablino,42.9393,-6.3194,48.99,99,100,2.57,ES,1619391844
makat,47.6469,53.3463,53.83,67,100,18.81,KZ,1619391845
glendive,47.1053,-104.7125,53.6,47,1,9.69,US,1619391846
japura,-0.3167,102.35,73.35,98,38,2.15,ID,1619391676
san francisco menendez,13.8431,-90.0158,84.7,53,100,6.82,SV,1619391847
niksar,40.5917,36.9517,50.86,97,100,3.85,TR,1619391847
caohe,30.2297,115.4335,60.01,90,100,2.24,CN,1619391848
lorengau,-2.0226,147.2712,83.26,71,69,4.63,PG,1619391848
lima,-12.0432,-77.0282,73.99,77,40,5.75,PE,1619391191
mulege,26.8833,-111.9833,83.61,29,100,3.42,MX,1619391849
kuusamo,65.9667,29.1833,30.2,86,90,9.22,FI,1619391850
ketchikan,55.3422,-131.6461,58.17,37,0,5.21,US,1619391447
ordu,40.9086,37.6845,51.8,100,75,6.91,TR,1619391851
camargo,27.6667,-105.1667,89.85,4,97,1.3,MX,1619391852
berlevag,70.8578,29.0864,29.34,88,72,14.07,NO,1619391854
hettstedt,51.65,11.5,37.0,60,4,1.01,DE,1619391854
asten,51.4042,5.7486,43.0,72,89,3.0,NL,1619391855
spassk,52.747,87.7545,23.83,97,23,3.0,RU,1619391855
kandrian,-6.2167,149.55,80.76,80,100,5.88,PG,1619391856
omboue,-1.5746,9.2618,79.16,86,3,5.59,GA,1619391856
bilibino,68.0546,166.4372,20.77,82,99,3.4,RU,1619391550
xuanhua,40.6103,115.0447,53.04,71,100,5.59,CN,1619391857
